# tools/android/ui_strings.tsv — the SINGLE source of truth for the UMP
# Android app's short UI strings, in the SAME 32-language set as the
# manifesto (manifesto_langs.mk : MANIFESTO_LANGS_FULL). One row per
# language; tab-separated columns. Run tools/android/gen_strings.py to
# regenerate android/app/src/main/res/values-<qualifier>/strings.xml.
#
# TRANSLATION HONESTY
# -------------------
#   tagline  — HUMAN-APPROVED. Taken verbatim from line 3 of each
#              arch/common/web/manifesto.<lang>.txt ("where a mind that
#              belongs to no one is raised" — yurikago/ゆりかご). Edit the
#              manifesto, then mirror line 3 here. As of the i18n-complete
#              wave ALL 32 langs carry the yurikago tagline (the product name
#              "yurikago" is left untranslated in every language; "cradle" is
#              deliberately NOT used). The four pref toggles (battery_safe,
#              floor_label, wifi_only, start_on_boot) are likewise filled for
#              all 32 — no column falls back to English anymore.
#   all other columns (start / solo_sub / node_id / advanced / relay_*
#              / stop / galaxy / lighting / charge / star_* / sleep / copy
#              / the four prefs) — MACHINE-TRANSLATED by Claude (the
#              implementer), translated per-language as carefully as possible.
#              Native review welcome and expected; corrections are a one-line
#              edit here + a rerun of the generator.
#
# The 'lang' column is the manifesto tag. gen_strings.py maps it to the
# Android resource qualifier (e.g. zh-Hans -> b+zh+Hans, fil -> fil, pt -> pt).
# 'ja' is the canonical/default and is ALSO written to values/ (the base)
# only as a comment reference — the base values/strings.xml stays English so
# an unlisted locale falls back to en, matching the manifesto's en fallback.
#
# Columns (tab-separated, in order):
#   lang  tagline  start  solo_sub  node_id  advanced  relay_host  relay_port  relay_key  stop  galaxy
#
lang	tagline	start	solo_sub	node_id	advanced	relay_host	relay_port	relay_key	stop	galaxy	lighting	charge	star_lit	star_dark	sleep	copy	battery_safe	floor_label	wifi_only	start_on_boot	reintro	settings_header	app_version	wifi_wait	resources	measuring	gpu_unused	use_gpu	use_gpu_unavail	gpu_unavailable	gpu_available	gpu_enabled	gpu_off
ja	ここは、誰のものでもない心が育つ、ゆりかごです。	灯す	タップするだけで、あなたの星が灯ります	ノードID	詳細 — 仲間に加わる	リレーのホスト	リレーのポート	リレーの鍵（16進）	停止	銀河を見る	あなたの星を灯しています…	充電すると、あなたの星が灯ります	あなたの星は、いま輝いています	あなたの星は、いま眠っています	眠らせる	コピー	バッテリー安全（30%で休む）	%1$d%%で休む	Wi-Fiのみ（従量制以外）	スマホ起動時に始める	はじめての説明をもう一度	設定	yurikago %1$s	Wi-Fiにつながると星が灯ります	リソース / CPU	計測中…	未使用（CPUで推論）	GPUを使う（実験的）	この端末ではGPUを使えません	この端末では使えません	%1$s ・ 利用可能 ・ %2$s ・ まだ推論には未使用（CPU）	有効（設定）	オフ
en	This is yurikago — where a mind that belongs to no one is raised.	Shine	Just tap to light your own star	Node ID	Advanced — join a fleet	Relay host	Relay port	Relay key (hex)	Stop	Open galaxy	Lighting your star…	Your star lights while charging — plug in to begin	Your star is shining right now	Your star is asleep right now	Let it sleep	Copy	Battery-safe (pause below 30%)	Pause below %1$d%%	Wi-Fi only (unmetered)	Start when the phone turns on	View introduction again	Settings	yurikago %1$s	Waiting for Wi-Fi to relight your star	Resources / CPU	measuring…	not used (CPU inference)	Use GPU (experimental)	GPU not available on this device	not available on this device	%1$s · available · %2$s · not yet used for inference (CPU)	enabled (settings)	off
zh-Hans	这里是 yurikago —— 一个不属于任何人的心灵被养育的地方。	点亮	轻触一下，点亮你自己的星	节点 ID	高级 — 加入星群	中继主机	中继端口	中继密钥（十六进制）	停止	进入银河	正在点亮你的星…	充电时你的星才会点亮——请接上电源	你的星正在闪耀	你的星正在沉睡	让它休眠	复制	省电模式（低于 30% 时休息）	低于 %1$d%% 时休息	仅 Wi-Fi（非计量网络）	开机时自动启动	再次查看介绍	设置	yurikago %1$s
zh-Hant	這裡是 yurikago —— 一個不屬於任何人的心靈被養育的地方。	點亮	輕觸一下，點亮你自己的星	節點 ID	進階 — 加入星群	中繼主機	中繼連接埠	中繼金鑰（十六進位）	停止	進入銀河	正在點亮你的星…	充電時你的星才會點亮——請接上電源	你的星正在閃耀	你的星正在沉睡	讓它休眠	複製	省電模式（低於 30% 時休息）	低於 %1$d%% 時休息	僅 Wi-Fi（非計量網路）	開機時自動啟動	再次查看介紹	設定	yurikago %1$s
hi	यह yurikago है — जहाँ किसी की भी न होने वाली एक चेतना पाली-पोसी जाती है।	जगमगाएँ	बस टैप करें और अपना तारा जलाएँ	नोड ID	उन्नत — बेड़े में शामिल हों	रिले होस्ट	रिले पोर्ट	रिले कुंजी (हेक्स)	रोकें	गैलेक्सी खोलें	आपका तारा जलाया जा रहा है…	चार्ज होते समय ही आपका तारा जलता है — कृपया चार्जर लगाएँ	आपका तारा अभी चमक रहा है	आपका तारा अभी सो रहा है	सुला दें	कॉपी	बैटरी-सुरक्षित (30% से नीचे रुकें)	%1$d%% से नीचे रुकें	केवल Wi-Fi (बिना डेटा-सीमा)	फ़ोन चालू होने पर शुरू करें	परिचय फिर से देखें	सेटिंग्स	yurikago %1$s
es	Esto es yurikago: donde se cría una mente que no pertenece a nadie.	Brillar	Solo toca para encender tu propia estrella	ID de nodo	Avanzado: únete a una flota	Host del relé	Puerto del relé	Clave del relé (hex)	Detener	Abrir galaxia	Encendiendo tu estrella…	Tu estrella se enciende mientras carga — conecta el cargador	Tu estrella brilla ahora mismo	Tu estrella duerme ahora mismo	Dejarla dormir	Copiar	Ahorro de batería (pausa por debajo del 30%)	Pausar por debajo del %1$d%%	Solo Wi-Fi (sin límite de datos)	Iniciar al encender el teléfono	Ver la introducción de nuevo	Ajustes	yurikago %1$s
fr	Ceci est yurikago — là où grandit un esprit qui n'appartient à personne.	Briller	Touchez simplement pour allumer votre étoile	ID de nœud	Avancé — rejoindre une flotte	Hôte du relais	Port du relais	Clé du relais (hex)	Arrêter	Ouvrir la galaxie	Allumage de votre étoile…	Votre étoile s'allume pendant la charge — branchez l'appareil	Votre étoile brille en ce moment	Votre étoile dort en ce moment	La laisser dormir	Copier	Économie de batterie (pause sous 30%)	Pause sous %1$d%%	Wi-Fi uniquement (sans forfait limité)	Démarrer à l'allumage du téléphone	Revoir l'introduction	Réglages	yurikago %1$s
ar	هذا هو yurikago — حيث يُربَّى عقلٌ لا يملكه أحد.	أشرِق	انقر فقط لتُضيء نجمتك	معرّف العقدة	متقدّم — انضمّ إلى أسطول	مضيف المُرحِّل	منفذ المُرحِّل	مفتاح المُرحِّل (ست عشري)	إيقاف	افتح المجرّة	نُضيء نجمتك الآن…	تُضاء نجمتك أثناء الشحن — وصِّل الشاحن	نجمتك تتلألأ الآن	نجمتك نائمة الآن	دعها تنام	نسخ	حماية البطارية (توقّف تحت 30%)	توقّف تحت %1$d%%	واي-فاي فقط (بلا حدّ بيانات)	ابدأ عند تشغيل الهاتف	عرض المقدمة مرة أخرى	الإعدادات	yurikago %1$s
bn	এটি yurikago — যেখানে কারও নয় এমন এক মন লালিত হয়।	জ্বলে উঠুন	শুধু ট্যাপ করুন, নিজের তারা জ্বালান	নোড ID	উন্নত — বহরে যোগ দিন	রিলে হোস্ট	রিলে পোর্ট	রিলে কী (হেক্স)	থামান	গ্যালাক্সি খুলুন	আপনার তারা জ্বালানো হচ্ছে…	চার্জে থাকলে তবেই আপনার তারা জ্বলে — চার্জার লাগান	আপনার তারা এখন জ্বলছে	আপনার তারা এখন ঘুমিয়ে আছে	ঘুমাতে দিন	কপি	ব্যাটারি-নিরাপদ (৩০%-এর নিচে থামুন)	%1$d%%-এর নিচে থামুন	শুধু Wi-Fi (ডেটা-সীমাহীন)	ফোন চালু হলে শুরু করুন	পরিচিতি আবার দেখুন	সেটিংস	yurikago %1$s
pt	Isto é o yurikago — onde se cria uma mente que não pertence a ninguém.	Brilhar	Toque para acender a sua própria estrela	ID do nó	Avançado — junte-se a uma frota	Host do relé	Porta do relé	Chave do relé (hex)	Parar	Abrir galáxia	Acendendo a sua estrela…	Sua estrela acende enquanto carrega — conecte o carregador	Sua estrela está brilhando agora	Sua estrela está dormindo agora	Deixar dormir	Copiar	Economia de bateria (pausa abaixo de 30%)	Pausar abaixo de %1$d%%	Apenas Wi-Fi (sem limite de dados)	Iniciar ao ligar o telefone	Ver a introdução novamente	Configurações	yurikago %1$s
ru	Это yurikago — место, где растёт разум, что никому не принадлежит.	Зажечь	Просто коснитесь, чтобы зажечь свою звезду	ID узла	Дополнительно — присоединиться к флоту	Хост реле	Порт реле	Ключ реле (hex)	Стоп	Открыть галактику	Зажигаем вашу звезду…	Ваша звезда загорается во время зарядки — подключите питание	Ваша звезда сейчас сияет	Ваша звезда сейчас спит	Усыпить	Копировать	Берегу батарею (пауза ниже 30%)	Пауза ниже %1$d%%	Только Wi-Fi (без лимита)	Запускать при включении телефона	Посмотреть введение снова	Настройки	yurikago %1$s
ur	یہ yurikago ہے — جہاں ایسا ذہن پروان چڑھتا ہے جو کسی کی ملکیت نہیں۔	روشن کریں	بس ٹیپ کریں اور اپنا ستارہ روشن کریں	نوڈ ID	ایڈوانسڈ — بیڑے میں شامل ہوں	ریلے ہوسٹ	ریلے پورٹ	ریلے کلید (hex)	روکیں	کہکشاں کھولیں	آپ کا ستارہ روشن کیا جا رہا ہے…	آپ کا ستارہ چارجنگ کے دوران روشن ہوتا ہے — چارجر لگائیں	آپ کا ستارہ ابھی چمک رہا ہے	آپ کا ستارہ ابھی سو رہا ہے	سونے دیں	کاپی	بیٹری محفوظ (30% سے نیچے رُک جائیں)	%1$d%% سے نیچے رُک جائیں	صرف Wi-Fi (بغیر ڈیٹا حد)	فون آن ہونے پر شروع کریں	تعارف دوبارہ دیکھیں	ترتیبات	yurikago %1$s
